Metal,PMID,Journal,Title,Abstract,Year,Dose (ppm),Country,Organs,Species
Mercury,41640554,Afr Health Sci,Influencing factors of neural tube malformation: a systematic review and meta-analysis.,"BACKGROUND: Neural tube malformation is a common congenital malformation and its influencing factors were still unclear. This paper aims to explore the main influencing factors of neural tube malformation, and provide reference for the primary prevention of neural tube malformation. METHODOLOGY: Case-control literatures on the influencing factors of neural tube malformation from 1990 to 2021 were searched from Chinese and English websites. The quality of the included literatures was evaluated according to Newcastle-Ottawa Scale (NOS) scale and data were extracted. Meta-analysis was performed on the data using funnel plot and Egger's est evaluated publication bias, and sensitivity analysis was performed by eliminating individual studies one by one. RESULTS: A total of 49 case-control studies were included. Meta-analysis showed that the main influencing factors of neural tube malformation were folic acid (odds ratio (OR)OR=0.31, 95%CI: 0.20-0.47), fever (OR=3.02, 95%CI: 2.38-3.83), obesity (OR=1.76, 95%CI: 1.39-2.21), passive smoking (OR=1.91, 95%CI: 1.52-2.40). Antiepileptic drugs (OR=6.10, 95%CI: 2.58-14.43); Heavy metals (Zinc: OR=2.37, 95%CI: 1.06-5.30, mercury: OR= 4.61, 95%CI: 2.85-7.47). CONCLUSION: Prenatal supplementation with folic acid and zinc has been shown to reduce the risks of neural tube defects. It is recommended that women of childbearing age take folic acid and zinc supplements before and during pregnancy. Other factors such as fever, obesity, passive smoking, antiepileptic drugs, and mercury exposure have been associated with an increased incidence of neural tube abnormalities. Neurological tube abnormalities can be reduced by folic acid and zinc, which act as protective factors. The incidence of neural tube abnormalities is increased by fever, obesity, passive smoking, antiepileptic drugs, and mercury.",2025,,China,brain,Human
Mercury,41595795,Int J Environ Res Public Health,"Through the Eye: Retinal Changes of Prenatal Mercury Exposure in Grassy Narrows First Nation, Canada.","Since the 1960s, Grassy Narrows First Nation, Canada, has been exposed to methylmercury (MeHg) from fish consumption following Hg discharge from a chloralkali plant. Prenatal exposure to MeHg is known to affect the neurodevelopment of fetuses and the retina is sensitive to neurodevelopmental damage. The multidisciplinary, cross-sectional Niibin study, developed with Grassy Narrows First Nations, included visual examinations with retinal evaluation using optical coherence tomography (OCT). The present analyses focused on the 59 participants (116 eyes) with umbilical cord Hg measurements, sampled between 1971 and 1992. Associations between cord blood Hg and retinal thickness layers surrounding the optic nerve head (RNFL) and inner macula (GC-IPL) were examined using mixed-effect models. Higher cord blood Hg was significantly associated with reduced thickness of GC-IPL layers across all macular sectors; less pronounced associations were observed for RNFL. A qualitative clinical assessment of the OCT results showed that persons with cord blood Hg concentrations ≥ 5.8 µg/L were more likely to present bilateral abnormal retinal thinning (OR = 3.51; [95% CI: 1.06-11.53]). These findings suggest that, in this Indigenous community, prenatal MeHg exposure may have enduring effects on retinal thickness and underline the importance of OCT technology in providing tailored eye care.",2025,0.0058,Canada,,
Mercury,41467739,Essays Biochem,"Prenatal and childhood exposures to heavy metals and their associations with child cognition, motor skills, behaviour and mental health.","Exposure to arsenic (As), cadmium (Cd), lead (Pb) and mercury (Hg), prenatally and in childhood could pose a significant risk to children's neurodevelopmental outcomes. A mini-review synthesized the findings of original peer-reviewed prospective cohort studies that investigated associations between prenatal and/or childhood exposure to As, Cd, Pb and Hg and chemical mixtures that included these metals, and cognitive, motor, behaviour and mental health outcomes in children and adolescents. Scopus, OVID Medline, EMBASE and PsychINFO were searched for relevant studies published in English between January 01, 2022, and June 30, 2025. Of the 1089 studies identified, 77 met the criteria for inclusion. Thirty-four different cohorts for 18 countries were included, and sample sizes ranged from 48 to 96,165. Exposure was primarily assessed using biological samples such as maternal and child blood, cord blood, and maternal and child urine. The findings of this review provide strong support for the contention that higher levels of prenatal and childhood exposure to As, Cd, Pb and Hg, and their mixtures are linked with adverse cognitive, motor, behavioural and mental health outcomes in children. There is some suggestion that these effects may differ by child sex. Prenatal and childhood exposure to these toxic metals has lasting consequences for children's neurodevelopment. Future research that examines the effects of prenatal, early childhood and continued exposure to these toxic metals on adult neurodevelopment is critical. Further, the potential mitigating effects of maternal and child nutrition and the influences of the psychosocial environment on long term outcomes are areas in need of future study.",2025,,Canada,,Human
Mercury,41441276,Toxics,Prenatal Exposure to Toxic Metals and Early Neurodevelopmental Outcomes in Infants Following Intrauterine Blood Transfusion: A Prospective Cohort Study.,"Fetal exposure to toxic metals is a major public health concern, yet the contribution of intrauterine blood transfusion (IUBT) to this exposure remains unclear. This prospective cohort study assessed mercury, cadmium, lead, and arsenic levels in maternal blood, cord blood, and residual IUBT red blood cell (RBC) units from 90 pregnant women enrolled at King Faisal Specialist Hospital & Research Centre. Metals were detected in nearly all maternal and cord blood samples and in every transfusion bag, with several measurements exceeding established benchmark values. Higher maternal mercury and combined mercury-arsenic levels were suggestively associated with small reductions in personal-social scores (approximately -3% to -5%). Elevated cord mercury, arsenic, and combined mercury-arsenic-cadmium levels were associated with modest decreases in problem-solving performance. Increased mercury and mercury-arsenic concentrations in transfused RBCs were linked to lower gross motor scores. Overall, these patterns indicate a potential contribution of IUBT-related metals to fetal exposure, although effect sizes were small. These preliminary findings highlight the importance of monitoring metal content in transfusion materials and reinforce the need for larger studies to clarify their clinical relevance.",2025,,Saudi Arabia,,Human
Mercury,41398598,BMC Med,Stage- and sex-specific associations of prenatal individual and mixed metals exposure with adiposity peak and adiposity rebound among children: a prospective birth cohort study.,"BACKGROUND: Adiposity peak (AP) and adiposity rebound (AR) are key indicators of early childhood growth, which are closely related to obesity, premature puberty, and metabolic abnormalities. Epidemiological studies have shown that prenatal metal exposure is linked to obesity in children. However, studies concerning the association of metals during pregnancy with AP and AR in children are scarce. METHODS: We measured the concentration of 17 serum metal elements including aluminum (Al), vanadium, manganese (Mn), iron, cobalt (Co), nickel, copper, zinc, selenium, cadmium, barium (Ba), thallium (Tl), lead, calcium, magnesium, mercury (Hg), and molybdenum across three trimesters and in cord blood from 2718 mother-infant dyads. Individual body mass index (BMI) trajectories from birth to 7 years old were fitted to estimate AP and AR in offspring. Linear mixed models were used to identify relevant metal elements associated with AP or AR, and multiple informant models, Bayesian kernel machine regression, quantile-based g-computation, and weighted quantile sums were applied to assess associations of prenatal individual and mixed metals exposure with AP and AR. RESULTS: Prenatal Al, Mn, Co, Ba, Tl, and Hg were positively associated with the age and BMI of AP and negatively associated with the age of AR, whereas boys were more susceptible to Hg, and girls were more susceptible to Mn. Exposure to Ba (OR = 1.20, 95%CI 1.03, 1.39, P = 0.02) and Tl (OR = 1.36, 95%CI 1.04, 1.78, P = 0.03) in the first trimester was significantly correlated with the advanced AR phase. In addition, the second trimester might be a sensitive window, and Mn, Co, and Tl were the key metals in mixtures. CONCLUSIONS: This study presents the initial epidemiological evidence of the associations between prenatal metal exposure and AP and AR in children, as well as sex-specific and stage-specific associations.",2025,,China,,Human
Mercury,41314136,Environ Int,Early pregnancy blood heavy metal(loid)s and low sea-fish consumption in relation to risk of gestational diabetes mellitus among Shanghai Birth cohort (SBC) women.,"BACKGROUND: Gestational diabetes mellitus (GDM) is a common metabolic complication during pregnancy which increase both maternal and fetal adverse outcomes. Selected heavy metal(loid)s may lead to insulin resistance and increase risk of GDM. We sought to investigate associations between maternal heavy metal(loid)s exposure, sea-fish consumption and GDM risk. METHODS: In 2174 women, including 686 with GDM, 48 with preexisting diabetes mellitus (PDM), and 1440 euglycemic pregnancies from the Shanghai Birth Cohort, we measured maternal whole blood concentrations of 13 metal(loid)s including mercury (Hg), arsenic, cadmium, lead, magnesium, calcium, manganese, iron, copper, zinc, selenium, rubidium, and strontium at early pregnancy. Logistic regressions were used to evaluate the associations of prenatal blood metal(loid)s with GDM and PDM, and linear regressions for plasma glucose (fasting, 1-hour, and 2-hour) during 75 g-oral glucose tolerance test (OGTT), with stratification by prenatal fish consumption and adjusting for pertinent covariates. RESULTS: Early pregnancy blood Hg concentrations were higher in women with GDM and PDM versus euglycemic (geometric mean was 1.88, and 2.18 versus 1.74 μg/L). Compared with the lowest quintile of Hg, the highest Hg quintile was associated with 1.66-fold higher odds of GDM (95 % CI: 1.17, 2.37, P < 0.01) and 7.10-fold higher odds (95 % CI: 1.82, 47.06, P < 0.05) of PDM. Consistently, blood Hg was also positively associated with higher plasma glucose at fasting, 1-hour, and 2-hour during OGTT. No significant associations were found between other measured metal(loid)s and GDM or PDM. The positive Hg-associations with GDM, PDM， and plasma glucoses were stronger among women with low fish intake (<1 time/week) and not statistically significant among higher sea-fish intake (interaction test P < 0.05). CONCLUSIONS: In this prospective birth cohort, despite relatively low maternal Hg exposure, maternal Hg during early pregnancy was positively associated with increased risk of GDM and PDM, while higher sea-fish consumption showed counteracting effect.",2025,0.00174,USA,,Human
Mercury,41264948,Sci Total Environ,Association between early-life exposure to mercury and cardiometabolic risk factors development in adolescence.,"BACKGROUND: Early-life mercury (Hg) exposure has been associated with adverse cardiometabolic health effects, though the evidence remains inconclusive. This study aims to evaluate the association between prenatal and postnatal Hg exposure and cardiometabolic risk factors in 15-year-old adolescents, considering the influence of sex, fish consumption, omega-3 polyunsaturated fatty acids (n-3 PUFAs) intake, and an obesity-related polygenic risk score (PRS). METHODS: Participants comprised 243 mother-adolescent pairs from the Spanish INMA (Childhood and Environment) cohorts. Total Hg (THg) levels were analyzed at birth and ages 4, 9, and 15 years in different matrices (cord blood, blood, and hair). At age 15, waist-to-height ratio (WHtR), fat mass percentage (%FM), systolic and diastolic blood pressure (SBP, DBP), serum alanine aminotransferase (ALT), and cardiometabolic risk (CMR) score were assessed. Sociodemographic, lifestyle, and genetic data were collected. Associations between THg levels and outcomes were analyzed using multivariable linear regression, with interaction terms to assess effect modification. RESULTS: Cord blood THg was marginally and directly associated with SBP (β [95 %CI: 0.08 [-0.01, 0.17]), with stronger associations observed among boys. THg at age 9 was marginally and inversely associated with %FM and CMR score (-0.15 [-0.32, 0.01] and -0.45 [-0.95, 0.06], respectively). A U-shape association was found between blood THg at age 15 and SBP z-scores, with a cut-off at 2.8 (95 %CI: 1.28, 4.06) μg/L. Sex and the amount of fish and n-3 PUFA consumed influenced this association in an outcome-dependent manner. No other associations were detected with the other CMR outcomes evaluated. CONCLUSION: The results of this longitudinal study suggest that both pre- and postnatal THg exposure have a relationship on SBP in adolescents. Sex appears to modify these associations.",2025,,Austria,,Human
Mercury,41218533,Sci Total Environ,Toxic metals and trace elements in maternal blood and urinary tract infection during the first 2 years of life: The Japan Environment and Children's Study.,"BACKGROUND: Urinary tract infections (UTIs) are common bacterial infections in young children and can lead to long-term renal complications. While established risk factors exist, the effect of prenatal exposure to toxic metals and trace elements on UTI risk remains unclear. We examined the association between maternal blood levels of these elements and UTI risk in early childhood. METHODS: This study is based on a nationwide birth cohort, the Japan Environment and Children's Study (JECS), which obtained data from over 100,000 pregnancies through 15 Regional Centres across Japan. Maternal blood samples were collected during mid-late pregnancy and the concentrations of selenium, manganese, lead, cadmium, and mercury were measured. Child UTI diagnoses during the first 2 years of life were assessed by caregiver questionnaires. Multivariable logistic regression models examined associations between log2-transformed level of metals and trace elements and UTI. RESULTS: Overall, 79,161 mother-child pairs were analyzed. During the first 2 years, 877 (1.1 %) children were diagnosed with UTI. Higher maternal selenium levels were associated with increased UTI risk (Odds ratio for a twofold increase in selenium: 1.58, 95 % CI: 1.06-2.35) after adjusting for covariates. The adjusted odds ratios (95 % CI) of other elements were 0.97 (0.82-1.14) in manganese, 1.01 (0.88-1.15) in lead, 0.94 (0.84-1.05) in cadmium, and 1.02 (0.93-1.11) in mercury. CONCLUSIONS: Elevated maternal selenium levels may increase susceptibility to UTIs during the first 2 years of life. Further studies are needed to investigate long-term effects, including bladder and kidney dysfunction.",2025,,Japan,kidney,Human
Mercury,41207242,J Hazard Mater,Placental transfer efficiency of metals and its association with cognitive development in offspring: Roles of placental inflammatory cytokines and oxidative stress markers.,"Prenatal heavy metal exposure has developmental neurotoxicity. However, current understanding of the association between placental transfer efficiency (PTE) of metals and offspring cognitive development remains limited. Based on 1418 mother-child pairs in Ma'anshan Birth Cohort Study, we investigated the association between the PTE of fourteen metals and offspring cognitive development, and examined the mediating and modulating roles of placental inflammation and oxidative stress factors. Results showed that both individual and mixed exposure to PTEs of metals were negatively associated with children's full-scale intelligence quotient (FSIQ). Cu (copper), Hg (mercury), and V (vanadium) were the largest three negative contributors. After stratifying by placental metal levels, negative associations between the PTEs of Hg and Molybdenum (Mo) with FSIQ were only observed in children with placental Hg and Mo levels above the median. Further mediation analyses showed that approximately 7.8-17.5 % of the effects of high PTEs to Cu, Hg, V, and Mo on the decrease in FSIQ were mediated by the placental inflammatory cytokines [interleukin (IL)-8, IL-6] and oxidative stress factor [hypoxia inducible factor-1alpha (HIF-1α)]. the marginal effect of the negative associations of the PTE of Cu and PTE of Mo with FSIQ decreased with decreasing placental inflammatory cytokines [IL-8, IL-6, tumor necrosis factor-α (TNF-α), IL-4]. These findings indicated that the high transfer property of metals at the maternal - fetal interface can trigger placental inflammation and oxidative stress, and thus the long-term effects on cognitive development in children.",2025,,China,,Human
Mercury,41205373,Environ Int,Association of pre-and postnatal mercury exposure with cardiometabolic risk factors in children: the role of the telomere length and telomerase reverse transcriptase polymorphisms.,"Mercury (Hg), particularly methylmercury (MeHg), is a widespread environmental toxicant linked to early-life cardiometabolic risk. This study examined associations between pre- and postnatal total blood mercury (THg) exposure and cardiometabolic outcomes in children, exploring telomere length (TL) as a potential mediator and polymorphisms in the TERT and CLPTM1L genes as effect modifiers. The analysis included 1,301 mother-child pairs from six European cohorts in the HELIX project. THg was measured in maternal and child blood to assess prenatal and postnatal exposure. Cardiometabolic outcomes, including BMI, waist circumference, blood pressure, lipid profile, insulin, and a metabolic syndrome (MetS) risk score, were evaluated in children aged 6-12. TL was measured by quantitative PCR, and polymorphisms in TERT and CLPTM1L were assessed by genome-wide genotyping. Models adjusted for sociodemographic and lifestyle variables, with sensitivity analyses including other environmental contaminants (PCBs, DDE, As, Cd, Pb, Se). Prenatal THg exposure was positively associated with insulin levels, waist circumference, systolic blood pressure, and MetS risk score. Postnatal THg exposure was negatively associated with waist circumference, diastolic blood pressure and hypertension prevalence. TL was inversely associated with adiposity and blood pressure but showed minimal mediation, with only a marginal effect on BMI. TERT polymorphisms, particularly rs33954691 and rs2853669, significantly modified the association between THg and cardiometabolic outcomes. These results identify the prenatal period as a particularly vulnerable window for MeHg toxicity on cardiometabolic risk factors. These associations were largely independent of TL, though genetic variants in TERT altered susceptibility. Future research should explore additional biological pathways beyond telomere dynamics.",2025,,France,,Human
