PMID,Title,Abstract,Journal,Year
40869893,Neurodevelopmental Outcomes Associated with Early-Life Exposure to Heavy Metals: A Systematic Review.,"Globally, approximately 53 million children under the age of five live with some form of developmental disability. Exposure to heavy metals has been identified in the literature as a contributing factor in the etiology of neurodevelopmental disorders, however it usually is understudied. Even at low concentrations, these toxicants pose a risk to neurodevelopment, when affecting children early as in the prenatal period. This study aims to systematically review the literature on the associations between exposure to toxic heavy metals and neurodevelopmental outcomes in children.",International journal of environmental research and public health,2025
40766567,Early-life Exposure to Arsenic Primes the Offspring to Increased Asthma Risk: Transcriptome and Epigenome Analysis.,"Inorganic arsenic (iAs) in drinking water is a global health concern. This study tests whether maternal exposure to iAs in drinking water at the WHO provisional level (10 microgram/L) increases offspring asthma risk via epigenetic reprogramming. F1 mice prenatally exposed to iAs were analyzed at 5 months for blood transcriptome and methylome changes and challenged with house allergens before lung function testing. Prenatal iAs exposure led to increased airway hyperresponsiveness (AHR) and altered inflammation gene expression and DNA methylation changes. Notably, miR-101c was epigenetically reprogrammed early in development, with persistent downregulation in both target (fetal and adult lungs) and surrogate (amniotic fluid and blood) tissues. These changes correlated with increased allergic AHR and TGFβ pathway dysregulation. Findings suggest that maternal iAs exposure primes offspring for asthma risk through epigenetic alterations and may inform risk assessment and biomarker development in affected communities.",bioRxiv : the preprint server for biology,2025
40752713,Potential interactive effect of placental heavy metals and gestational diabetes mellitus on neonatal anthropometric measures: a birth cohort study.,"Studies demonstrate that prenatal exposure to heavy metals can impair fetal growth and development. Meanwhile, gestational diabetes mellitus (GDM), a frequent pregnancy complication, may also influence fetal development. Given the potential coexistence of these two risk factors, further investigation is needed to elucidate their combined effects on fetal development. Therefore, the current study aims to examine the relationship between mixed metal exposure and neonatal anthropometric measures under different maternal GDM status. Based on the Ma'anshan Birth Cohort (MABC), our study included 2397 mother-child pairs. Seven metals in the placenta were tested: arsenic(As), cobalt(Co), chromium(Cr), lead(Pb), cadmium(Cd), mercury(Hg) and zinc(Zn). Regression models, weighting indices, and mixed exposure models were used to analyze the association of metals and neonatal anthropometric measures, and relevant sensitivity analyses were conducted. In the GDM group, placental Zn was associated with a decreased risk of Small for Gestational Age (SGA) (OR = 0.20, 95 %CI: 0.05-0.83), while Hg was associated with an increased risks of SGA (OR = 3.18, 95 %CI: 1.38-7.35) and Large for Gestational Age (LGA) (OR = 2.11, 95 %CI: 1.09-4.12). We found a U-shaped relationship between mixed metal exposure and birth weight in the non-GDM group. While in the GDM group, an increase in the concentration of mixed metal exposure was associated with an increase in birth weight. In the non-GDM group, a decreased risk of low birth weight(LBW) was observed in Co (OR = 0.13, 95 %CI: 0.04-0.43), while an increased risk was observed in Hg (OR = 2.06, 95 %CI: 1.11-3.83) and Cr (OR = 1.87, 95 %CI: 1.04-3.35) exposure, with no significant associations in GDM. High mixed concentrations were found to be related to increased birth length in GDM group, but related with decreased birth length in non-GDM group. The association between placental heavy metals and neonatal anthropometric measures differed between GDM and non-GDM group. These observations warrant further experimental studies to elucidate the underlying mechanisms.","Environmental pollution (Barking, Essex : 1987)",2025
40737448,Single-Cell Multiome Impact of Prenatal Heavy Metal Exposure on Early Airway Development.,"Prenatal exposure to cadmium (Cd) and arsenic (As) can severely impair fetal lung development, leading to lifelong adverse effects. As two of the most common and toxic heavy metals, Cd and As pose risks to many communities through food and water consumption. We have shown that prenatal co-exposure to Cd and As at levels relevant to human intake inhibits branching morphogenesis, yet cell-type-specific mechanisms remain elusive. Here we examined early embryonic lungs (E12) from mice exposed prenatally to either 0 (control) or 250 (treated) ppb of both Cd and As. Through single-cell multiome sequencing (scATAC-seq+scRNA-seq) and high-resolution metabolomics, we present a multifaceted landscape of Cd and As-induced molecular and cellular disruption. We identified 19 cell states exhibiting state-specific changes in gene expression related to cell proliferation and differentiation. Velocity analysis integrating RNA splicing and chromatin kinetics showed profound disruptions in cell fate, particularly affecting differentiation of <sup>Sox2</sup>+ proximal progenitors and <i>Wnt2+</i> mesenchymal progenitors. Gene regulatory network analysis pinpointed the diminished function of <i>Gata6</i> and <i>Gli2</i> as central to these disruptions, which was further confirmed by their reduced protein expression in exposed E12, E14.5 and E17 lungs. Additionally, metabolomic alterations in polyamine, tyrosine and fatty acid biosynthesis correlated with changes in gene expression of catalytic enzymes. These findings demonstrate that Cd and As at levels relevant to human exposure impair early airway formation across multiple regulatory levels, including chromatin accessibility, transcription and cell metabolism, and provide insights into the factors central to cell resilience during this vulnerable stage of lung development.",American journal of respiratory cell and molecular biology,2025
40731773,"Effects of Prenatal Arsenic, Cadmium, and Manganese Exposure on Neurodevelopment in Children: A Systematic Review and Meta-Analysis.","<i>Objective</i>: The aim of this study was to investigate the effects of prenatal heavy metal (arsenic, cadmium, manganese) exposure on infant neurodevelopment through a systematic review and meta-analysis, elucidating the toxicological mechanisms and dose-response relationships for consideration in environmental risk assessment. <i>Methods</i>: Following the PRISMA guidelines, systematic searches were conducted in PubMed, Embase, and other databases, ultimately resulting in 17 observational studies involving 6907 participants. <i>Results</i>: Arsenic (As): A 50% increase in arsenic exposure was associated with a reduction of 0.51 points in the Mental Development Index (MDI; 95% CI: -1.43 to 0.4) and 0.15 points in the Psychomotor Development Index (PDI; 95% CI: -0.96 to 0.65). However, these results did not achieve statistical significance (<i>p</i> > 0.05). Cadmium (Cd): Prenatal cadmium exposure significantly decreased the Full-Scale Intelligence Quotient (FSIQ) in children aged 5-9 years. A 50% increase in cadmium exposure resulted in a 0.44-point drop in the FSIQ (95% CI: -0.67 to -0.21, <i>p</i> < 0.05), with stable effects (I<sup>2</sup> = 0%). Manganese (Mn): Manganese exposure showed a negative association with the MDI (β = -0.11) and PDI (β = -0.18). However, a high degree of heterogeneity was observed (I<sup>2</sup> = 20.89-73.35%), and some studies suggested potential risks even at low exposure levels. Sensitivity analyses indicated that the heterogeneity in the arsenic and manganese results mainly stemmed from individual study differences (e.g., sample characteristics), whereas the cadmium effects were consistent. <i>Conclusions</i>: Prenatal heavy metal exposure (notably cadmium) adversely impacts neurodevelopment, even at low doses. Future research should prioritize critical exposure windows, mixed effects, and sex-specific vulnerabilities. Strengthening environmental monitoring and prenatal guidelines is crucial to mitigate developmental risks.","Medicina (Kaunas, Lithuania)",2025
40669674,Folic acid alleviates gestational arsenic exposure-induced spatial learning and memory impairment in mice offspring via consuming SAM-mediated DNA hypomethylation in the developing brain.,"Arsenic is ubiquitously distributed in the environment and substantially threatens human health; however, the mechanism underlying gestational arsenic exposure-induced impairment of neural development in offspring is unclear. Herein, the impact of arsenic exposure during pregnancy on spatial learning and memory was evaluated using a mouse model. The findings indicated that adult offspring exhibited cognitive disorders due to intrauterine arsenic exposure, which correlated with diminished S-adenosylmethionine (SAM) and folic acid (FA) levels in fetuses. Subsequent analysis confirmed that intrauterine arsenic exposure downregulated the DNA methylation, leading to a reduction in the expression of genes related to cognition in the fetal hippocampus, such as breast cancer susceptibility protein 1 (Brca1), c-Fos, activity-regulated cytoskeleton-associated protein (Arc), and Foxg1. We then established a mouse model with FA intervention and discovered that supplementing with FA prevented the arsenic-induced reduction of SAM and 5-methylcytosine (5mC) levels, and restored DNA methylation and genes associated with cognition, thereby mitigating spatial learning and memory impairments in adult offspring. This study demonstrates that FA supplementation alleviates gestational arsenic exposure-induced spatial learning and memory deficits, at least partially, by increasing SAM levels in the developing brain. Our findings identify potential targets and strategies for preventing cognitive impairments in offspring due to gestational arsenic exposure.",Toxicology letters,2025
40624277,"Association between urinary heavy metal concentrations, thyroid hormones, and birth outcomes among pregnant women in Isfahan City.","Heavy metals are toxic elements that can have significant adverse effects on human health, particularly during vulnerable periods such as pregnancy. The presence of heavy metals in the environment can lead to increased exposure in pregnant women, which may adversely affect both maternal and neonatal health. This study investigates the relationship between heavy metal concentrations, thyroid hormones, and birth outcomes in pregnant women in Isfahan city. Measuring heavy metal concentrations in urine is considered a non-invasive and accurate method for assessing exposure to these harmful substances. The primary aim of this research is to identify the potential impacts of these factors on birth weight and other growth parameters of infants. Results are indicating that 11.4% of the mothers were less than 25 years of age, and 57.1% of the mothers are overweight. Moreover, 19.2% of pregnant women had less than 37 weeks of gestation, and 82.8% of mothers were university-educated. Significant difference in heavy metal levels was observed across residential areas for arsenic (p = 0.007), chromium (p < 0.001), nickel (p = 0.005), lead (p = 0.003), selenium (p = 0.034), and T4 (p = 0.045). Notably, only lead exposure was directly and significantly associated with decreased infant birth weight (β = - 120.99, p = 0.008). All heavy metals showed a positive association with maternal TSH levels (p < 0.05), and except for selenium, they were also positively associated with the maternal T3/T4 ratio (p < 0.05). Both birth weight and head circumference were negatively associated with maternal TSH levels (β = - 209.25, p = 0.001) and the T3/T4 ratio (β = - 203, p = 0.041), especially among female infants. Therefore, careful monitoring of environmental heavy metal exposure and thyroid hormone regulation during pregnancy is essential to optimize birth outcomes and infant health.",Scientific reports,2025
40618488,"Cord-blood levels of heavy metals, vitamin D and calcium and the occurrence of development defects of enamel in primary incisors: A birth cohort study.","This study investigated the influence of vitamin D, calcium and heavy metals on the frequency of development defects of enamel (DDE) in primary incisors of infants. Serum levels of vitamin D, calcium, arsenic, cadmium, lead, and mercury in cord blood, as well as prenatal and perinatal data, were collected during pregnancy, at birth, and in follow-ups with newborns and infants ≤ 24 months. This was done using laboratory exams, interviews, and newborns' and infants' records. An examiner performed dental exams using the Modified DDE. DDE type, color, location, and severity were evaluated, and logistic multiple regression models were analyzed (p < 0.05). Of the infants (n = 306), 52.3 % were boys; 14.4 % were premature; 93.0 % were born to mothers taking medication, 89.9 % to mothers taking vitamin supplements, 38.1 % to mothers who used alcohol, and 11.4 % to mothers who used tobacco. Most newborns had normal weight (88.9 %), adequate size for gestational age (88.1 %), 1-minute APGAR score ≥ 7 (88.6 %), and were exclusively breastfed at discharge from maternity (90.6 %). Arsenic ≥ 0.23 µg/L (53.4 %), cadmium < 0.20 µg/L (52.6 %), lead ≥ 0.8 µg/dL (60.5 %) and mercury ≥ 0.8 µg/L (55.2 %) were found in this population. Most had normal vitamin D (52.6 %) and calcium (76.3 %) levels. The incidence of DDE in infants was 27.1 % (83/306). The number of DDE per child ranged from 1 to 8 with demarcated opacity being the most common defect, while upper central incisors and the incisal third were the teeth and location most affected, respectively. Lead was associated with DDE in primary incisors, except in cases of pregnant women taking vitamin supplements and when the newborn, at the time of discharge, was being breastfed. In the present population, high cord blood levels of lead were associated with the occurrence of DDE in primary incisors.",Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS),2025
40617222,Environmental arsenic hijacks DDX5-mediated FANCA splicing to impair R-loops resolution and drive ovarian aging.,"Arsenic, a widespread environmental toxicant, is increasingly implicated in female reproductive dysfunction. Long-term exposure to low concentrations of arsenic leads to diminished ovarian reserve. However, the mechanisms by which arsenic exposure accelerates ovarian aging remain unclear. Here, we demonstrate that arsenic exposure induces widespread disruption of pre-mRNA splicing programs in granulosa cells, and these aberrantly spliced genes are predominantly responsible for maintaining genomic stability. Arsenic exposure induces proteasomal degradation of the RNA helicase DDX5 through the UBE3A-mediated ubiquitin-proteasome pathway. Loss of DDX5 impairs the alternative splicing of FANCA, a core gene in the Fanconi anemia pathway, resulting in the production of a truncated isoform. This aberration leads to the excessive accumulation of R-loops and γH2AX-marked DNA damage in ovarian granulosa cells. Consequently, arsenic-exposed mice exhibit hallmark features of premature ovarian aging. Our findings establish the DDX5-FANCA axis as a novel paradigm in which environmental toxins dysregulate RNA splicing, driving reproductive aging through R-loops-mediated genomic instability. These insights highlight splice-switching therapies as a promising strategy to counteract pollutant-induced fertility decline.",Ecotoxicology and environmental safety,2025
40524078,Effects of Maternal Trace Elements Exposure in Early Pregnancy on Maternal Thyroid Hormones and Birth Outcomes.,"While heavy metals are established contributors to adverse health outcomes, evidence regarding trace element effects on maternal thyroid hormones and birth outcomes remains limited. This prospective study investigated effects of first-trimester exposure to seven trace elements, including vanadium(V), chromium (Cr), manganese (Mn), cobalt (Co), nickel (Ni), arsenic (As), and Se (selenium), on maternal third-trimester thyroid hormone levels and birth outcomes in Shanghai, China. Among 2069 enrolled pregnant women, 1351 with complete data were analyzed. Linear regression model, restricted cubic spline (RCS), and quantile g computation (QGC) were employed to assess element-outcome relationships. QGC analysis revealed that the increase in the element's mixture was associated with the elevation of total triiodothyronine (TT3) (β = 0.026, 95%CI: 0.004, 0.048) and the infant's birth length (β = 1.120, 95%CI: 1.000, 1.250), with Cr being the primary contributor. Linear regression showed that elevated Cr concentrations were positively associated with the infant's birth length and head circumference, with estimated changes of 0.143 g and 1.61 mm, respectively. Each ln-unit elevated Se and As levels resulting in a 1.19 mm increase in the infant's head circumference and 0.13 mU/L increase in thyroid-stimulating hormone (TSH) concentration, respectively. Additionally, RCS analyses showed U-shaped relationships between As, Cr, and free triiodothyronine (FT3), as well as V and TT3. Our QGC results demonstrated that maternal exposure to element mixtures in early pregnancy was associated with altered thyroid hormones and accelerated fetal growth, predominantly driven by Cr. The U-shaped relationships for V, Cr, and As with maternal TT3/FT3 levels underscore the need for biphasic clinical safety thresholds for prenatal exposure.",Biological trace element research,2025
